Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Climate change,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66620a8eb7db2b00f77213f6,6286883dfdadd2d772aa2a72,APPROVED,Not Applicable,2024-06-06T19:16:09.618000Z,2024-06-06T19:28:50.420000Z,2024-06-07T18:44:16.674000Z,2024-06-06T19:28:50.895969Z,761.0,CWCSHZAX,1643,No,51,Male,White,United States,United States,United States,English,No,Part-Time
66620a91aa79e7666778a994,633a2bba24da1e2f594f9d62,APPROVED,Not Applicable,2024-06-06T19:14:30.318000Z,2024-06-06T19:25:37.181000Z,2024-06-07T18:44:16.908000Z,2024-06-06T19:25:37.657480Z,667.0,CWCSHZAX,1894,Don't know,32,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66620aa259b2f7f17e747671,5c51bcaeb7449200013a8517,APPROVED,Not Applicable,2024-06-06T19:14:49.193000Z,2024-06-06T19:39:18.223000Z,2024-06-07T18:44:17.176000Z,2024-06-06T19:39:22.662637Z,1470.0,CWCSHZAX,6702,Don't know,37,Male,White,United States,United States,United States,English,No,Full-Time
66620ab747e15ebf4719bc56,64359688af0d56d659ce5a8d,APPROVED,Not Applicable,2024-06-06T19:15:15.834000Z,2024-06-06T19:58:17.533000Z,2024-06-07T18:44:17.486000Z,2024-06-06T19:58:17.985578Z,2582.0,CWCSHZAX,1250,Don't know,49,Male,Black,United States,United States,United States,English,Yes,Full-Time
66620abc4d4eff3c87a63c6f,5e3544949202d94f38929176,APPROVED,Not Applicable,2024-06-06T19:15:14.033000Z,2024-06-06T19:32:18.066000Z,2024-06-07T18:44:17.787000Z,2024-06-06T19:32:36.808440Z,1025.0,CWCSHZAX,604,Don't know,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66620ac0fd3ec0d3b19be94a,6518353efd6c167905451597,APPROVED,Not Applicable,2024-06-06T19:15:49.329000Z,2024-06-06T19:30:01.293000Z,2024-06-07T18:44:18.085000Z,2024-06-06T19:30:01.733358Z,852.0,CWCSHZAX,1160,Don't know,47,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620acdf61c44c2e9246cfb,6642729ea20bdff9d8c277d9,APPROVED,Not Applicable,2024-06-06T19:15:34.296000Z,2024-06-06T19:33:10.271000Z,2024-06-07T18:44:18.324000Z,2024-06-06T19:33:54.200831Z,1056.0,CWCSHZAX,46,Don't know,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620af4d8f7dab64eca07b7,66593439219e827af22a002b,APPROVED,Not Applicable,2024-06-06T19:16:09.286000Z,2024-06-06T19:28:06.393000Z,2024-06-07T18:44:18.567000Z,2024-06-06T19:28:06.843318Z,718.0,CWCSHZAX,40,Don't know,37,Prefer not to say,White,United States,United States,United States,English,No,Full-Time
66620afa73d4f98188a63cd9,65fdb1b39f56be5921a9d484,APPROVED,Not Applicable,2024-06-06T19:16:14.850000Z,2024-06-06T19:26:04.827000Z,2024-06-07T18:44:18.794000Z,2024-06-06T19:26:05.344036Z,590.0,CWCSHZAX,642,No,42,Male,White,United States,United States,United States,English,No,Full-Time
66620b02857ab896ad90c5f0,5baa535fa3c9170001156197,APPROVED,Not Applicable,2024-06-06T19:16:21.023000Z,2024-06-06T19:32:38.933000Z,2024-06-07T18:44:19.078000Z,2024-06-06T19:33:12.777037Z,978.0,CWCSHZAX,8602,Don't know,34,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
