Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667c94627f9daf488386445c,65f3b4e8cd6885d540297d36,AWAITING REVIEW,Not Applicable,2024-06-26T22:21:30.941000Z,2024-06-26T23:08:09.795000Z,,2024-06-26T23:08:10.593160Z,2799.0,C1DPSPJ5,306,English,Democrat,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c946384103ca37c23c127,651daf9e41787d15f3dee105,AWAITING REVIEW,Not Applicable,2024-06-26T22:21:29.905000Z,2024-06-26T22:33:25.265000Z,,2024-06-26T22:34:24.290870Z,716.0,C1DPSPJ5,1956,English,Republican,53,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667c946a5f54268eb07f679e,6063c0f31b718b3623f66303,AWAITING REVIEW,Not Applicable,2024-06-26T22:21:36.839000Z,2024-06-26T22:37:14.193000Z,,2024-06-26T22:38:06.647822Z,938.0,C1DPSPJ5,2171,English,Republican,54,Female,White,United States,United States,United States,English,No,Full-Time
667c9474d2695c9943cd88ca,666efb72703de8fb31acc194,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:17.481000Z,2024-06-26T22:43:43.156000Z,,2024-06-26T22:44:20.667398Z,1286.0,C1DPSPJ5,58,English,Independent,57,Male,White,United Kingdom,United States,United States,English,No,Full-Time
667c94761584f6db58f5e66f,633cc1aa68e1e960fd86de6b,AWAITING REVIEW,Not Applicable,2024-06-26T22:21:51.168000Z,2024-06-26T22:37:18.420000Z,,2024-06-26T22:38:07.444455Z,928.0,C1DPSPJ5,482,English,Democrat,33,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c9478d80864f94fd005c2,655f9337070d42d4bc67d956,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:01.493000Z,2024-06-26T22:33:41.910000Z,,2024-06-26T22:34:29.405357Z,701.0,C1DPSPJ5,331,English,Independent,25,Female,Black,United States,United States,United States,English,No,Full-Time
667c947ab8f9b7b375ce5420,5d863f244d401800016ece02,AWAITING REVIEW,Not Applicable,2024-06-26T22:24:23.858000Z,2024-06-26T23:24:59.243000Z,,2024-06-26T23:26:12.344595Z,3636.0,C1DPSPJ5,2393,English,Democrat,28,Male,Black,United States,United States,United States,English,No,Part-Time
667c9486fbeabe8b63fba92a,65ca84cb095d96c990156ce8,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:05.549000Z,2024-06-26T22:31:09.461000Z,,2024-06-26T22:31:11.056630Z,544.0,C1DPSPJ5,117,English,Independent,34,Female,Black,United States,United States,United States,English,Yes,Full-Time
667c9490f080461d208903ec,66584e5f9d45e614ecebc703,APPROVED,Not Applicable,2024-06-26T22:23:56.457000Z,2024-06-26T22:38:11.038000Z,2024-06-28T12:26:46.743000Z,2024-06-26T22:38:21.077715Z,855.0,C1DPSPJ5,81,English,Independent,43,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
667c949419babec8452f58d3,63624e53b014a5fc8b293253,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:37.321000Z,2024-06-26T22:38:53.024000Z,,2024-06-26T22:38:53.920440Z,976.0,C1DPSPJ5,3698,English,Republican,56,Male,White,United States,United States,United States,English,No,Full-Time
667c949d3dc8ad0a4ad3fab1,65ccf6eeac32789a604de955,APPROVED,Not Applicable,2024-06-26T22:22:36.862000Z,2024-06-26T22:42:54.942000Z,2024-06-28T12:22:43.127000Z,2024-06-26T22:44:14.823388Z,1219.0,C1DPSPJ5,721,English,Independent,63,Female,White,United States,United States,United States,English,No,Part-Time
667c94a156e786c5661ac3cb,666c37e3e542ea4d2249ba05,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:25.482000Z,2024-06-26T22:36:07.704000Z,,2024-06-26T22:37:49.939585Z,823.0,C1DPSPJ5,18,English,Independent,27,Male,Black,United States,United States,United States,English,No,Full-Time
667c94a25096cc2cb7f00ca9,66142ff6d0f2e235cf4f61e4,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:33.434000Z,2024-06-26T22:31:53.836000Z,,2024-06-26T22:34:04.923736Z,561.0,C1DPSPJ5,492,English,Independent,25,Male,Mixed,United States,United States,United States,English,No,Part-Time
667c94ae07f51cac7f6ff8fa,6637f563864c516aa3870890,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:44.610000Z,2024-06-26T22:33:33.696000Z,,2024-06-26T22:34:26.852423Z,650.0,C1DPSPJ5,133,English,Republican,33,Male,White,United States,United States,United States,English,No,Part-Time
667c94ae26133bd69eff05ac,65fc02d2347e90bf73a109b1,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:50.867000Z,2024-06-26T22:40:21.803000Z,,2024-06-26T22:40:22.462302Z,1051.0,C1DPSPJ5,262,English,Republican,44,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c94b3620a6149c7ee3b7f,5f8ac3760d1aa703601582ef,APPROVED,Not Applicable,2024-06-26T22:22:52.686000Z,2024-06-26T22:35:05.215000Z,2024-06-28T12:25:43.147000Z,2024-06-26T22:35:06.639551Z,733.0,C1DPSPJ5,946,English,Independent,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
667c94b449c348ce3e87c74e,6632c0f05ca0b9dba23608c2,APPROVED,Not Applicable,2024-06-26T22:22:58.012000Z,2024-06-26T22:38:15.782000Z,2024-06-28T12:22:43.638000Z,2024-06-26T22:38:22.726613Z,918.0,C1DPSPJ5,19,English,Independent,73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c94b5ea86be366e14b643,6348846ae221cb4a0efbf3f9,APPROVED,Not Applicable,2024-06-26T22:22:56.327000Z,2024-06-26T22:44:37.002000Z,2024-06-28T12:24:33.576000Z,2024-06-26T22:44:37.845488Z,1301.0,C1DPSPJ5,2826,English,Republican,80,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c94bb2ac1bcbdd8299224,6466a1d27b0712d8d7810610,AWAITING REVIEW,Not Applicable,2024-06-26T22:22:57.604000Z,2024-06-26T22:35:18.268000Z,,2024-06-26T22:35:18.917590Z,741.0,C1DPSPJ5,2601,English,Independent,58,Male,White,United States,United States,United States,English,No,Full-Time
667c94c3f56d3efd55a1e27e,6619ace587ebece9b33d5f8f,APPROVED,Not Applicable,2024-06-26T22:23:07.344000Z,2024-06-26T22:40:01.362000Z,2024-06-28T12:23:36.344000Z,2024-06-26T22:40:02.859094Z,1015.0,C1DPSPJ5,64,English,Democrat,55,Female,Black,United States,United States,United States,English,No,Part-Time
667c94d1c13f4a480daf1686,663c56a1729f384862c5f1ec,AWAITING REVIEW,Not Applicable,2024-06-26T22:23:18.628000Z,2024-06-26T22:35:07.646000Z,,2024-06-26T22:35:09.991563Z,710.0,C1DPSPJ5,181,English,Independent,26,Female,White,United States,United States,United States,English,No,Other
667c94d357b0398ae5804939,60e9e8092cfc1f464753dd71,AWAITING REVIEW,Not Applicable,2024-06-26T22:23:41.159000Z,2024-06-26T22:30:16.052000Z,,2024-06-26T22:30:17.299533Z,395.0,C1DPSPJ5,6323,English,Democrat,61,Male,White,United States,United States,United States,English,No,Full-Time
